logging to data/NCC_original_sampling_r_N5-10_T1.0_eps0.01_2026-03-10_23-03-10.log
[2026-03-10 23:03:10] starting N=5 T=1.0 eps=0.01
[repeat 7/10] sampled_r_min=37, expected_r_min=19, current mean=36.714, 95% CI=[35.606, 37.823]
[repeat 8/10] eval r=1: sample_error=5.127658e+01, bias=4.817370e+01, fluct=1.332989e+01
[repeat 8/10] eval r=2: sample_error=6.671270e+01, bias=3.707258e+01, fluct=6.137407e+01
[repeat 8/10] eval r=4: sample_error=3.942580e+01, bias=2.484392e+00, fluct=3.955327e+01
[repeat 8/10] eval r=8: sample_error=5.993781e-01, bias=1.422313e-01, fluct=5.809779e-01
[repeat 8/10] eval r=16: sample_error=4.797857e-02, bias=1.456939e-02, fluct=4.871931e-02
[repeat 8/10] eval r=32: sample_error=1.189276e-02, bias=1.731661e-03, fluct=1.178083e-02
[repeat 8/10] eval r=64: sample_error=3.278902e-03, bias=2.137664e-04, fluct=3.260800e-03
[repeat 8/10] eval r=48: sample_error=5.750960e-03, bias=5.083440e-04, fluct=5.756742e-03
[repeat 8/10] eval r=40: sample_error=9.073041e-03, bias=8.812868e-04, fluct=9.016858e-03
[repeat 8/10] eval r=36: sample_error=9.905492e-03, bias=1.211935e-03, fluct=9.971699e-03
[repeat 8/10] eval r=34: sample_error=1.124409e-02, bias=1.440939e-03, fluct=1.106054e-02
[repeat 8/10] eval r=35: sample_error=1.026151e-02, bias=1.319822e-03, fluct=1.029183e-02
[repeat 8/10] eval r=24: sample_error=2.071703e-02, bias=4.158628e-03, fluct=2.024909e-02
[repeat 8/10] eval r=20: sample_error=3.062476e-02, bias=7.281246e-03, fluct=3.010863e-02
[repeat 8/10] eval r=18: sample_error=3.815263e-02, bias=1.008932e-02, fluct=3.753715e-02
[repeat 8/10] eval r=19: sample_error=3.313503e-02, bias=8.532067e-03, fluct=3.270085e-02
[repeat 8/10] sampled_r_min=36, expected_r_min=19, current mean=36.625, 95% CI=[35.649, 37.601]
[repeat 9/10] eval r=1: sample_error=4.636799e+01, bias=4.817370e+01, fluct=1.497736e+01
[repeat 9/10] eval r=2: sample_error=6.634927e+01, bias=3.707258e+01, fluct=5.729179e+01
[repeat 9/10] eval r=4: sample_error=3.569943e+01, bias=2.484392e+00, fluct=3.574407e+01
[repeat 9/10] eval r=8: sample_error=5.769207e-01, bias=1.422313e-01, fluct=5.440247e-01
[repeat 9/10] eval r=16: sample_error=4.769257e-02, bias=1.456939e-02, fluct=4.572300e-02
[repeat 9/10] eval r=32: sample_error=1.253262e-02, bias=1.731661e-03, fluct=1.256963e-02
[repeat 9/10] eval r=64: sample_error=3.992153e-03, bias=2.137664e-04, fluct=3.981739e-03
[repeat 9/10] eval r=48: sample_error=6.042043e-03, bias=5.083440e-04, fluct=6.042544e-03
[repeat 9/10] eval r=40: sample_error=8.123331e-03, bias=8.812868e-04, fluct=8.206310e-03
[repeat 9/10] eval r=36: sample_error=9.623434e-03, bias=1.211935e-03, fluct=9.610498e-03
[repeat 9/10] eval r=34: sample_error=1.087275e-02, bias=1.440939e-03, fluct=1.098850e-02
[repeat 9/10] eval r=35: sample_error=8.395587e-03, bias=1.319822e-03, fluct=8.286179e-03
[repeat 9/10] eval r=24: sample_error=2.240172e-02, bias=4.158628e-03, fluct=2.160409e-02
[repeat 9/10] eval r=20: sample_error=2.965140e-02, bias=7.281246e-03, fluct=2.941141e-02
[repeat 9/10] eval r=18: sample_error=3.204579e-02, bias=1.008932e-02, fluct=3.094025e-02
[repeat 9/10] eval r=19: sample_error=3.114639e-02, bias=8.532067e-03, fluct=3.002767e-02
[repeat 9/10] sampled_r_min=35, expected_r_min=19, current mean=36.444, 95% CI=[35.514, 37.375]
[repeat 10/10] eval r=1: sample_error=5.091779e+01, bias=4.817370e+01, fluct=1.566208e+01
[repeat 10/10] eval r=2: sample_error=6.758247e+01, bias=3.707258e+01, fluct=5.964614e+01
[repeat 10/10] eval r=4: sample_error=3.867279e+01, bias=2.484392e+00, fluct=3.823685e+01
[repeat 10/10] eval r=8: sample_error=5.442687e-01, bias=1.422313e-01, fluct=5.595803e-01
[repeat 10/10] eval r=16: sample_error=4.334695e-02, bias=1.456939e-02, fluct=4.321921e-02
[repeat 10/10] eval r=32: sample_error=1.094157e-02, bias=1.731661e-03, fluct=1.084598e-02
[repeat 10/10] eval r=64: sample_error=3.709152e-03, bias=2.137664e-04, fluct=3.698945e-03
[repeat 10/10] eval r=48: sample_error=6.722038e-03, bias=5.083440e-04, fluct=6.726225e-03
[repeat 10/10] eval r=40: sample_error=7.829807e-03, bias=8.812868e-04, fluct=7.871167e-03
[repeat 10/10] eval r=36: sample_error=1.024893e-02, bias=1.211935e-03, fluct=1.005715e-02
[repeat 10/10] eval r=38: sample_error=1.051829e-02, bias=1.029077e-03, fluct=1.046238e-02
[repeat 10/10] eval r=39: sample_error=8.956362e-03, bias=9.513592e-04, fluct=9.075313e-03
[repeat 10/10] eval r=24: sample_error=2.005620e-02, bias=4.158628e-03, fluct=1.997192e-02
[repeat 10/10] eval r=20: sample_error=2.846339e-02, bias=7.281246e-03, fluct=2.769768e-02
[repeat 10/10] eval r=18: sample_error=3.406835e-02, bias=1.008932e-02, fluct=3.330293e-02
[repeat 10/10] eval r=19: sample_error=3.224268e-02, bias=8.532067e-03, fluct=3.203642e-02
[repeat 10/10] sampled_r_min=39, expected_r_min=19, current mean=36.700, 95% CI=[35.729, 37.671]
finished search
sampled r_min samples: [36, 37, 37, 39, 34, 37, 37, 36, 35, 39]
expected r_min samples: [19, 19, 19, 19, 19, 19, 19, 19, 19, 19]
sampled r_min mean: 36.700
95% CI for sampled r_min mean: [35.729, 37.671]
saved checkpoint to: data/NCC_original_sampling_r_N5_T1_eps0.01_trials1000_repeats10.json
saved arrays to: data/NCC_original_sampling_r_N5_T1_eps0.01_trials1000_repeats10.npz
[2026-03-10 23:08:23] starting N=6 T=1.0 eps=0.01
[repeat 1/10] eval r=1: sample_error=8.492546e+01, bias=8.254224e+01, fluct=2.219996e+01
[repeat 1/10] eval r=2: sample_error=1.660393e+02, bias=1.064606e+02, fluct=1.551591e+02
[repeat 1/10] eval r=4: sample_error=2.359414e+02, bias=8.646925e+00, fluct=2.357732e+02
[repeat 1/10] eval r=8: sample_error=3.919076e+00, bias=3.786778e-01, fluct=3.913567e+00
[repeat 1/10] eval r=16: sample_error=8.701625e-02, bias=3.757113e-02, fluct=8.641436e-02
[repeat 1/10] eval r=32: sample_error=2.004813e-02, bias=4.468823e-03, fluct=2.000666e-02
[repeat 1/10] eval r=64: sample_error=6.417465e-03, bias=5.523684e-04, fluct=6.409433e-03
[repeat 1/10] eval r=48: sample_error=9.671175e-03, bias=1.313019e-03, fluct=9.693320e-03
[repeat 1/10] eval r=40: sample_error=1.321215e-02, bias=2.275506e-03, fluct=1.314892e-02
[repeat 1/10] eval r=44: sample_error=1.055507e-02, bias=1.706786e-03, fluct=1.043573e-02
[repeat 1/10] eval r=46: sample_error=1.071147e-02, bias=1.492706e-03, fluct=1.068390e-02
[repeat 1/10] eval r=47: sample_error=9.996543e-03, bias=1.399018e-03, fluct=9.986663e-03
[repeat 1/10] eval r=24: sample_error=3.394276e-02, bias=1.072398e-02, fluct=3.344694e-02
[repeat 1/10] eval r=28: sample_error=2.537435e-02, bias=6.702637e-03, fluct=2.512980e-02
[repeat 1/10] eval r=26: sample_error=2.729411e-02, bias=8.399178e-03, fluct=2.685874e-02
[repeat 1/10] eval r=25: sample_error=3.210611e-02, bias=9.466631e-03, fluct=3.160051e-02
[repeat 1/10] sampled_r_min=47, expected_r_min=25, current mean=47.000, 95% CI=[47.000, 47.000]
[repeat 2/10] eval r=1: sample_error=8.791720e+01, bias=8.254224e+01, fluct=2.403616e+01
[repeat 2/10] eval r=2: sample_error=1.698991e+02, bias=1.064606e+02, fluct=1.587382e+02
[repeat 2/10] eval r=4: sample_error=2.443019e+02, bias=8.646925e+00, fluct=2.446725e+02
[repeat 2/10] eval r=8: sample_error=3.990901e+00, bias=3.786778e-01, fluct=3.977498e+00
[repeat 2/10] eval r=16: sample_error=8.575348e-02, bias=3.757113e-02, fluct=8.481340e-02
[repeat 2/10] eval r=32: sample_error=1.784972e-02, bias=4.468823e-03, fluct=1.770520e-02
[repeat 2/10] eval r=64: sample_error=6.928221e-03, bias=5.523684e-04, fluct=6.920757e-03
[repeat 2/10] eval r=48: sample_error=1.058228e-02, bias=1.313019e-03, fluct=1.058265e-02
[repeat 2/10] eval r=56: sample_error=7.722869e-03, bias=8.254353e-04, fluct=7.712912e-03
[repeat 2/10] eval r=52: sample_error=9.223881e-03, bias=1.031731e-03, fluct=9.153113e-03
[repeat 2/10] eval r=50: sample_error=9.303416e-03, bias=1.161081e-03, fluct=9.308647e-03
[repeat 2/10] eval r=49: sample_error=1.065421e-02, bias=1.233934e-03, fluct=1.059554e-02
[repeat 2/10] eval r=24: sample_error=3.413147e-02, bias=1.072398e-02, fluct=3.373027e-02
[repeat 2/10] eval r=28: sample_error=2.538465e-02, bias=6.702637e-03, fluct=2.529893e-02
[repeat 2/10] eval r=26: sample_error=3.114689e-02, bias=8.399178e-03, fluct=3.045544e-02
[repeat 2/10] eval r=25: sample_error=3.511922e-02, bias=9.466631e-03, fluct=3.452308e-02
[repeat 2/10] sampled_r_min=50, expected_r_min=25, current mean=48.500, 95% CI=[45.560, 51.440]
[repeat 3/10] eval r=1: sample_error=8.901521e+01, bias=8.254224e+01, fluct=2.334523e+01
[repeat 3/10] eval r=2: sample_error=1.784969e+02, bias=1.064606e+02, fluct=1.576080e+02
